"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"d:\gazzeh travail\espace-elite\src\components\FileViewerModal.tsx", "TypeScript JSX", 0, 0, 110, 0, 5, 115
"d:\gazzeh travail\espace-elite\src\components\forms\PatientForm.tsx", "TypeScript JSX", 0, 0, 427, 48, 62, 537
"d:\gazzeh travail\espace-elite\src\components\forms\ProductForm.tsx", "TypeScript JSX", 0, 0, 288, 3, 20, 311
"d:\gazzeh travail\espace-elite\src\components\forms\SocieteForm.tsx", "TypeScript JSX", 0, 0, 333, 5, 23, 361
"d:\gazzeh travail\espace-elite\src\components\forms\UserForm.tsx", "TypeScript JSX", 0, 0, 191, 1, 15, 207
"d:\gazzeh travail\espace-elite\src\components\forms\components\DynamicRadioGroup.tsx", "TypeScript JSX", 0, 0, 53, 0, 6, 59
"d:\gazzeh travail\espace-elite\src\components\forms\components\FileManager.tsx", "TypeScript JSX", 0, 0, 86, 7, 12, 105
"d:\gazzeh travail\espace-elite\src\components\forms\components\FormSection.tsx", "TypeScript JSX", 0, 0, 33, 0, 5, 38
"d:\gazzeh travail\espace-elite\src\components\forms\components\LeafletMap.tsx", "TypeScript JSX", 0, 0, 48, 5, 12, 65
"d:\gazzeh travail\espace-elite\src\components\forms\components\LocationPicker.tsx", "TypeScript JSX", 0, 0, 211, 2, 24, 237
"d:\gazzeh travail\espace-elite\src\components\forms\components\MapComponent.tsx", "TypeScript JSX", 0, 0, 43, 1, 6, 50
"d:\gazzeh travail\espace-elite\src\components\forms\components\MapEvents.tsx", "TypeScript JSX", 0, 0, 13, 0, 4, 17
"d:\gazzeh travail\espace-elite\src\components\forms\components\SearchSelect.tsx", "TypeScript JSX", 0, 0, 67, 2, 7, 76
"d:\gazzeh travail\espace-elite\src\components\forms\components\SimpleMap.tsx", "TypeScript JSX", 0, 0, 95, 15, 23, 133
"d:\gazzeh travail\espace-elite\src\components\forms\components\SmartInput.tsx", "TypeScript JSX", 0, 0, 111, 4, 8, 123
"d:\gazzeh travail\espace-elite\src\components\forms\components\UnitInput.tsx", "TypeScript JSX", 0, 0, 67, 3, 7, 77
"d:\gazzeh travail\espace-elite\src\components\forms\patientSections\AdditionalInfoBlock.tsx", "TypeScript JSX", 0, 0, 43, 0, 4, 47
"d:\gazzeh travail\espace-elite\src\components\forms\patientSections\BiometricsBlock.tsx", "TypeScript JSX", 0, 0, 58, 2, 7, 67
"d:\gazzeh travail\espace-elite\src\components\forms\patientSections\InsuranceDetailsBlock.tsx", "TypeScript JSX", 0, 0, 134, 0, 9, 143
"d:\gazzeh travail\espace-elite\src\components\forms\patientSections\PersonalInfoBlock.tsx", "TypeScript JSX", 0, 0, 290, 12, 28, 330
"d:\gazzeh travail\espace-elite\src\components\forms\patientSections\ResponsiblePersonBlock.tsx", "TypeScript JSX", 0, 0, 169, 3, 17, 189
"d:\gazzeh travail\espace-elite\src\components\layout\SEO.tsx", "TypeScript JSX", 0, 0, 27, 2, 6, 35
"d:\gazzeh travail\espace-elite\src\components\tables\ClientTable.tsx", "TypeScript JSX", 0, 0, 61, 0, 5, 66
"d:\gazzeh travail\espace-elite\src\components\tables\DiagnosticTable.tsx", "TypeScript JSX", 0, 0, 75, 0, 7, 82
"d:\gazzeh travail\espace-elite\src\components\tables\LocationTable.tsx", "TypeScript JSX", 0, 0, 69, 0, 5, 74
"d:\gazzeh travail\espace-elite\src\components\tasks\DayTasksModal.tsx", "TypeScript JSX", 0, 0, 114, 0, 10, 124
"d:\gazzeh travail\espace-elite\src\components\tasks\TaskModal.tsx", "TypeScript JSX", 0, 0, 171, 0, 15, 186
"d:\gazzeh travail\espace-elite\src\components\ui\Card.tsx", "TypeScript JSX", 0, 0, 71, 0, 9, 80
"d:\gazzeh travail\espace-elite\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 50, 0, 9, 59
"d:\gazzeh travail\espace-elite\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 127, 0, 15, 142
"d:\gazzeh travail\espace-elite\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 53, 0, 7, 60
"d:\gazzeh travail\espace-elite\src\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 4, 0, 4, 8
"d:\gazzeh travail\espace-elite\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 44, 0, 7, 51
"d:\gazzeh travail\espace-elite\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 31, 0, 6, 37
"d:\gazzeh travail\espace-elite\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 105, 0, 11, 116
"d:\gazzeh travail\espace-elite\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 63, 0, 6, 69
"d:\gazzeh travail\espace-elite\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 61, 0, 6, 67
"d:\gazzeh travail\espace-elite\src\components\ui\carousel.tsx", "TypeScript JSX", 0, 0, 232, 0, 31, 263
"d:\gazzeh travail\espace-elite\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 327, 2, 37, 366
"d:\gazzeh travail\espace-elite\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 26, 0, 5, 31
"d:\gazzeh travail\espace-elite\src\components\ui\collapsible.tsx", "TypeScript JSX", 0, 0, 6, 0, 6, 12
"d:\gazzeh travail\espace-elite\src\components\ui\combobox.tsx", "TypeScript JSX", 0, 0, 105, 0, 6, 111
"d:\gazzeh travail\espace-elite\src\components\ui\command.tsx", "TypeScript JSX", 0, 0, 137, 0, 19, 156
"d:\gazzeh travail\espace-elite\src\components\ui\container.tsx", "TypeScript JSX", 0, 0, 13, 0, 2, 15
"d:\gazzeh travail\espace-elite\src\components\ui\context-menu.tsx", "TypeScript JSX", 0, 0, 182, 0, 19, 201
"d:\gazzeh travail\espace-elite\src\components\ui\data-table.tsx", "TypeScript JSX", 0, 0, 48, 0, 4, 52
"d:\gazzeh travail\espace-elite\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 109, 0, 14, 123
"d:\gazzeh travail\espace-elite\src\components\ui\drawer.tsx", "TypeScript JSX", 0, 0, 105, 0, 14, 119
"d:\gazzeh travail\espace-elite\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 182, 0, 19, 201
"d:\gazzeh travail\espace-elite\src\components\ui\file-upload.tsx", "TypeScript JSX", 0, 0, 192, 4, 20, 216
"d:\gazzeh travail\espace-elite\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 154, 0, 26, 180
"d:\gazzeh travail\espace-elite\src\components\ui\hover-card.tsx", "TypeScript JSX", 0, 0, 23, 0, 7, 30
"d:\gazzeh travail\espace-elite\src\components\ui\index.ts", "TypeScript", 0, 3, 0, 0, 0, 3
"d:\gazzeh travail\espace-elite\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 63, 0, 9, 72
"d:\gazzeh travail\espace-elite\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 21, 0, 5, 26
"d:\gazzeh travail\espace-elite\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 21, 0, 6, 27
"d:\gazzeh travail\espace-elite\src\components\ui\menubar.tsx", "TypeScript JSX", 0, 0, 217, 0, 20, 237
