Date : 2025-07-10 01:39:18
Directory : d:\gazzeh travail\espace-elite\src
Total : 446 files,  59460 codes, 2838 comments, 6391 blanks, all 68689 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |        310 |     47,654 |      1,929 |      4,680 |     54,263 |
| TypeScript     |        134 |     11,472 |        908 |      1,663 |     14,043 |
| Markdown       |          1 |        228 |          0 |         42 |        270 |
| CSS            |          1 |        106 |          1 |          6 |        113 |
+----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        446 |     59,460 |      2,838 |      6,391 |     68,689 |
| . (Files)                                                                                                                      |          1 |         70 |         31 |         17 |        118 |
| components                                                                                                                     |        141 |     14,954 |        571 |      1,606 |     17,131 |
| components (Files)                                                                                                             |          1 |        111 |          0 |          5 |        116 |
| components\MedicaleDevicesParametreForms                                                                                       |          6 |        273 |          0 |         22 |        295 |
| components\forms                                                                                                               |         19 |      2,961 |        188 |        335 |      3,484 |
| components\forms (Files)                                                                                                       |          4 |      1,240 |         75 |        120 |      1,435 |
| components\forms\components                                                                                                    |         10 |      1,040 |         82 |        149 |      1,271 |
| components\forms\patientSections                                                                                               |          5 |        681 |         31 |         66 |        778 |
| components\layout                                                                                                              |          1 |         27 |          2 |          6 |         35 |
| components\medicalDevice                                                                                                       |          6 |        538 |          4 |         30 |        572 |
| components\patient                                                                                                             |         12 |        935 |          4 |         74 |      1,013 |
| components\payment                                                                                                             |         20 |      2,893 |        208 |        307 |      3,408 |
| components\payment (Files)                                                                                                     |          4 |        354 |         24 |         29 |        407 |
| components\payment\components                                                                                                  |          6 |        801 |         66 |         88 |        955 |
| components\payment\config                                                                                                      |          1 |         60 |          6 |          4 |         70 |
| components\payment\context                                                                                                     |          1 |        124 |         28 |         21 |        173 |
| components\payment\paymentForms                                                                                                |          8 |      1,554 |         84 |        165 |      1,803 |
| components\product                                                                                                             |          4 |        345 |          4 |         31 |        380 |
| components\sales                                                                                                               |          1 |        290 |         18 |         31 |        339 |
| components\search                                                                                                              |          1 |        289 |         20 |         29 |        338 |
| components\settings                                                                                                            |         10 |      1,313 |         70 |        139 |      1,522 |
| components\settings (Files)                                                                                                    |          4 |        912 |         68 |        107 |      1,087 |
| components\settings\backup                                                                                                     |          5 |        391 |          2 |         31 |        424 |
| components\settings\types                                                                                                      |          1 |         10 |          0 |          1 |         11 |
| components\steps                                                                                                               |          2 |        576 |         31 |         89 |        696 |
| components\tables                                                                                                              |          3 |        205 |          0 |         17 |        222 |
| components\tasks                                                                                                               |          4 |        662 |          7 |         55 |        724 |
| components\ui                                                                                                                  |         41 |      2,792 |         12 |        382 |      3,186 |
| components\user                                                                                                                |          4 |        524 |          1 |         33 |        558 |
| components\welcome                                                                                                             |          6 |        220 |          2 |         21 |        243 |
| hooks                                                                                                                          |          3 |        176 |         31 |         42 |        249 |
| lib                                                                                                                            |          6 |        304 |         50 |         59 |        413 |
| pages                                                                                                                          |        257 |     42,892 |      2,107 |      4,536 |     49,535 |
| pages (Files)                                                                                                                  |          3 |        137 |         17 |         27 |        181 |
| pages\api                                                                                                                      |         83 |      9,768 |        745 |      1,386 |     11,899 |
| pages\api (Files)                                                                                                              |          1 |          6 |          1 |          4 |         11 |
| pages\api\auth                                                                                                                 |          2 |        126 |         12 |         20 |        158 |
| pages\api\clients                                                                                                              |          2 |        161 |          2 |         18 |        181 |
| pages\api\companies                                                                                                            |          1 |         25 |          0 |          3 |         28 |
| pages\api\diagnostic-parameters                                                                                                |          2 |        118 |         10 |         25 |        153 |
| pages\api\diagnostic-results                                                                                                   |          2 |        195 |         22 |         32 |        249 |
| pages\api\diagnostics                                                                                                          |          5 |        632 |         67 |        104 |        803 |
| pages\api\diagnostics (Files)                                                                                                  |          2 |        357 |         29 |         53 |        439 |
| pages\api\diagnostics\[id]                                                                                                     |          3 |        275 |         38 |         51 |        364 |
| pages\api\diagnostics\[id] (Files)                                                                                             |          1 |        172 |         24 |         28 |        224 |
| pages\api\diagnostics\[id]\documents                                                                                           |          2 |        103 |         14 |         23 |        140 |
| pages\api\doctors                                                                                                              |          1 |        126 |          5 |         18 |        149 |
| pages\api\files                                                                                                                |          1 |        116 |         11 |         18 |        145 |
| pages\api\locations                                                                                                            |          1 |         78 |          1 |          8 |         87 |
| pages\api\medical-devices                                                                                                      |          6 |        898 |         58 |        110 |      1,066 |
| pages\api\medical-devices (Files)                                                                                              |          5 |        866 |         58 |        102 |      1,026 |
| pages\api\medical-devices\[id]                                                                                                 |          1 |         32 |          0 |          8 |         40 |
| pages\api\notifications                                                                                                        |          5 |        304 |         21 |         61 |        386 |
| pages\api\notifications (Files)                                                                                                |          4 |        281 |         21 |         56 |        358 |
| pages\api\notifications\[id]                                                                                                   |          1 |         23 |          0 |          5 |         28 |
| pages\api\patients                                                                                                             |          3 |        118 |          0 |         17 |        135 |
| pages\api\payments                                                                                                             |          2 |        410 |         55 |         65 |        530 |
| pages\api\payments (Files)                                                                                                     |          1 |        126 |          9 |         16 |        151 |
| pages\api\payments\cnam                                                                                                        |          1 |        284 |         46 |         49 |        379 |
| pages\api\products                                                                                                             |          1 |        141 |         13 |         23 |        177 |
| pages\api\profile                                                                                                              |          1 |         45 |          0 |          7 |         52 |
| pages\api\renseignements                                                                                                       |          6 |      1,664 |         83 |        166 |      1,913 |
| pages\api\renseignements (Files)                                                                                               |          2 |        977 |         38 |         79 |      1,094 |
| pages\api\renseignements\companies                                                                                             |          1 |        180 |          6 |         23 |        209 |
| pages\api\renseignements\patients                                                                                              |          3 |        507 |         39 |         64 |        610 |
| pages\api\rentals                                                                                                              |          2 |        250 |         25 |         32 |        307 |
| pages\api\rentals (Files)                                                                                                      |          1 |        204 |         18 |         23 |        245 |
| pages\api\rentals\[id]                                                                                                         |          1 |         46 |          7 |          9 |         62 |
| pages\api\repair-locations                                                                                                     |          1 |         88 |          1 |         13 |        102 |
| pages\api\repairs                                                                                                              |          1 |        151 |          7 |         15 |        173 |
| pages\api\role                                                                                                                 |          2 |         79 |          6 |         11 |         96 |
| pages\api\role\employee                                                                                                        |          2 |         79 |          6 |         11 |         96 |
| pages\api\role\employee (Files)                                                                                                |          1 |         73 |          6 |          8 |         87 |
| pages\api\role\employee\diagnostics                                                                                            |          1 |          6 |          0 |          3 |          9 |
| pages\api\sales                                                                                                                |          3 |        962 |        119 |        152 |      1,233 |
| pages\api\sales (Files)                                                                                                        |          2 |        686 |         75 |         99 |        860 |
| pages\api\sales\[id]                                                                                                           |          1 |        276 |         44 |         53 |        373 |
| pages\api\search                                                                                                               |          1 |        213 |         11 |         20 |        244 |
| pages\api\settings                                                                                                             |          4 |        556 |         97 |        115 |        768 |
| pages\api\settings (Files)                                                                                                     |          3 |        426 |         71 |         89 |        586 |
| pages\api\settings\backup                                                                                                      |          1 |        130 |         26 |         26 |        182 |
| pages\api\societes                                                                                                             |          1 |         65 |          1 |         10 |         76 |
| pages\api\stock                                                                                                                |          7 |        791 |         40 |         96 |        927 |
| pages\api\stock-locations                                                                                                      |          4 |        240 |         10 |         41 |        291 |
| pages\api\stock-locations (Files)                                                                                              |          3 |        219 |         10 |         34 |        263 |
| pages\api\stock-locations\[id]                                                                                                 |          1 |         21 |          0 |          7 |         28 |
| pages\api\stock\inventory                                                                                                      |          1 |        185 |         18 |         20 |        223 |
| pages\api\stock\locations                                                                                                      |          1 |        122 |          8 |         17 |        147 |
| pages\api\stock\transfers                                                                                                      |          5 |        484 |         14 |         59 |        557 |
| pages\api\stock\transfers (Files)                                                                                              |          3 |        270 |          7 |         25 |        302 |
| pages\api\stock\transfers\[id]                                                                                                 |          2 |        214 |          7 |         34 |        255 |
| pages\api\tasks                                                                                                                |          2 |        257 |          6 |         37 |        300 |
| pages\api\tasks (Files)                                                                                                        |          1 |        187 |          0 |         28 |        215 |
| pages\api\tasks\[id]                                                                                                           |          1 |         70 |          6 |          9 |         85 |
| pages\api\technicians                                                                                                          |          6 |        428 |         15 |         59 |        502 |
| pages\api\technicians (Files)                                                                                                  |          1 |         64 |          3 |          8 |         75 |
| pages\api\technicians\[id]                                                                                                     |          5 |        364 |         12 |         51 |        427 |
| pages\api\upload                                                                                                               |          1 |         53 |          4 |         11 |         68 |
| pages\api\users                                                                                                                |          6 |        472 |         42 |         75 |        589 |
| pages\api\users (Files)                                                                                                        |          5 |        400 |         41 |         64 |        505 |
| pages\api\users\[id]                                                                                                           |          1 |         72 |          1 |         11 |         84 |
| pages\auth                                                                                                                     |          2 |        309 |          4 |         22 |        335 |
| pages\roles                                                                                                                    |        169 |     32,678 |      1,341 |      3,101 |     37,120 |
| pages\roles\admin                                                                                                              |        112 |     22,842 |        869 |      2,125 |     25,836 |
| pages\roles\admin (Files)                                                                                                      |          5 |      1,091 |         67 |        122 |      1,280 |
